Date,Day,Session,Room,Block,Courses,Students Assigned,Vacant Seats,Buffer Seats,Roll Numbers
30/04/2016,Sunday,Morning,101,9,CS249,25,0,5,"1401AI24, 1401AI26, 1401AI02, 1401AI05, 1401AI34, 1401AI40, 1401AI41, 1401AI37, 1401AI42, 1401AI39, 1401AI21, 1401AI19, 1401AI28, 1401AI25, 1401AI23, 1401AI29, 1401AI17, 1401AI32, 1401AI15, 1401AI20, 1401AI33, 1401AI04, 1401AI12, 1401AI22, 1401AI08"
30/04/2016,Sunday,Morning,102,9,"CS249, CH426, MM304",67,0,5,"1401AI27, 1401AI10, 1401AI16, 1401AI18, 1401AI38, 1401AI43, 1401AI13, 1401AI07, 1401AI36, 1401AI06, 1401AI30, 1401AI14, 1401AI11, 1401AI31, 1401AI35, 1512CH25, 1512CH42, 1512CH11, 1512CH12, 1512CH30, 1512CH06, 1512CH01, 1512CH43, 1512CH35, 1512CH18, 1512CH04, 1512CH24, 1512CH32, 1512CH26, 1512CH20, 1512CH13, 1512CH39, 1512CH38, 1512CH14, 1512CH21, 1512CH19, 1512CH27, 1512CH37, 1512CH41, 1512CH40, 1512CH17, 1301MM34, 1301MM18, 1301MM13, 1301MM10, 1301MM32, 1301MM33, 1301MM29, 1301MM01, 1301MM26, 1301MM16, 1301MM04, 1301MM11, 1301MM09, 1301MM22, 1301MM03, 1301MM15, 1301MM23, 1301MM35, 1301MM24, 1301MM08, 1301MM05, 1301MM20, 1301MM27, 1301MM14, 1301MM25, 1301MM21"
30/04/2016,Sunday,Morning,103,9,"MM304, CB308",25,0,5,"1301MM28, 1301MM30, 1301MM07, 1301CB46, 1301CB26, 1301CB33, 1301CB57, 1301CB18, 1301CB30, 1301CB02, 1301CB53, 1301CB24, 1301CB45, 1301CB44, 1301CB04, 1301CB36, 1301CB15, 1301CB37, 1301CB48, 1301CB58, 1301CB20, 1301CB38, 1301CB60, 1301CB13, 1301CB27"
30/04/2016,Sunday,Morning,104,9,"CB308, CE216",67,0,5,"1301CB19, 1301CB54, 1301CB08, 1301CB17, 1301CB06, 1301CB23, 1301CB62, 1301CB35, 1301CB11, 1301CB43, 1301CB07, 1301CB10, 1301CB56, 1301CB05, 1301CB50, 1301CB03, 1301CB22, 1301CB49, 1301CB47, 1301CB52, 1301CB55, 1301CB42, 1301CB41, 1301CB34, 1301CB01, 1301CB31, 1301CB21, 1301CB64, 1301CB61, 1301CB39, 1301CB29, 1301CB28, 1401CE53, 1401CE24, 1401CE17, 1401CE49, 1401CE62, 1401CE18, 1401CE28, 1401CE11, 1401CE13, 1401CE44, 1401CE14, 1401CE10, 1401CE35, 1401CE46, 1401CE42, 1401CE58, 1401CE60, 1401CE39, 1401CE22, 1401CE12, 1401CE04, 1401CE26, 1401CE20, 1401CE32, 1401CE45, 1401CE54, 1401CE33, 1401CE37, 1401CE50, 1401CE47, 1401CE51, 1401CE15, 1401CE27, 1401CE05, 1401CE38"
30/04/2016,Sunday,Morning,105,9,"CE216, CB204",25,0,5,"1401CE55, 1401CE34, 1401CE56, 1401CE43, 1401CE52, 1401CE63, 1401CE36, 1401CE29, 1401CE21, 1401CE25, 1401CE57, 1401CE07, 1401CE41, 1401CE03, 1401CE40, 1401CE61, 1401CE31, 1401CE48, 1401CE06, 1401CB54, 1401CB22, 1401CB21, 1401CB19, 1401CB38, 1401CB32"
30/04/2016,Sunday,Morning,106,9,CB204,25,0,5,"1401CB50, 1401CB28, 1401CB25, 1401CB60, 1401CB10, 1401CB15, 1401CB03, 1401CB37, 1401CB34, 1401CB53, 1401CB49, 1401CB45, 1401CB47, 1401CB51, 1401CB09, 1401CB55, 1401CB08, 1401CB43, 1401CB58, 1401CB29, 1401CB24, 1401CB26, 1401CB66, 1401CB16, 1401CB41"
30/04/2016,Sunday,Morning,107,9,"CB204, PH422, MM202",67,0,5,"1401CB64, 1401CB48, 1401CB23, 1401CB18, 1401CB42, 1401CB13, 1401CB02, 1401CB30, 1401CB01, 1401CB31, 1401CB57, 1401CB56, 1401CB07, 1401CB65, 1401CB36, 1401CB11, 1401CB33, 1401CB61, 1401CB39, 1401CB62, 1401CB63, 1401CB35, 1401CB40, 1401CB05, 1401CB44, 1512PH23, 1512PH03, 1512PH14, 1512PH33, 1512PH10, 1512PH11, 1512PH19, 1512PH29, 1512PH20, 1512PH27, 1512PH26, 1512PH21, 1512PH35, 1512PH30, 1512PH36, 1512PH07, 1512PH08, 1512PH09, 1512PH06, 1512PH28, 1512PH02, 1512PH17, 1512PH04, 1512PH34, 1512PH25, 1512PH31, 1512PH32, 1512PH13, 1401MM23, 1401MM22, 1401MM38, 1401MM09, 1401MM24, 1401MM39, 1401MM15, 1401MM12, 1401MM06, 1401MM40, 1401MM10, 1401MM14, 1401MM35, 1401MM30"
30/04/2016,Sunday,Morning,108,9,MM202,18,7,5,"1401MM42, 1401MM45, 1401MM17, 1401MM20, 1401MM34, 1401MM16, 1401MM44, 1401MM31, 1401MM04, 1401MM02, 1401MM37, 1401MM25, 1401MM11, 1401MM43, 1401MM07, 1401MM03, 1401MM01, 1401MM27"
30/04/2016,Sunday,Evening,101,9,NO EXAM,0,25,5,
01/05/2016,Monday,Morning,101,9,HS202,25,0,5,"1401MC57, 1401MC41, 1401ME30, 1401MC29, 1401MC19, 1401MC36, 1401CS34, 1401ME15, 1401CB54, 1401EE38, 1401MC17, 1401MC02, 1401CE53, 1401EE30, 1401MC31, 1401MC16, 1401MC08, 1401MC26, 1401MC22, 1401MC21, 1401MC18, 1401MC37, 1401ME43, 1401EE58, 1401MC34"
01/05/2016,Monday,Morning,102,9,HS202,67,0,5,"1401EE97, 1401MC35, 1401MC46, 1401AI24, 1401AI26, 1401MC11, 1401MC10, 1401EE34, 1401ME11, 1401CB19, 1401CB38, 1401CE17, 1401MC07, 1401MC04, 1401EE64, 1401EE96, 1401CE49, 1401CE62, 1401CB32, 1401PH17, 1401EE50, 1401MM23, 1401EE69, 1401EE49, 1401EE37, 1401CE18, 1401EE93, 1401ME16, 1401CE28, 1401EE04, 1401EE33, 1401MC32, 1401EE91, 1401CE13, 1401CE44, 1401CS78, 1401CE14, 1401CE10, 1401ME71, 1401MM22, 1401PH12, 1401EE70, 1401EE15, 1401CB25, 1401EE14, 1401CB60, 1401CE35, 1401EE44, 1401CE60, 1401ME36, 1401CE39, 1401PH27, 1401PH30, 1401CB37, 1401AI02, 1401ME35, 1401AI05, 1401ME84, 1401ME23, 1401ME83, 1401MM38, 1401ME17, 1401AI34, 1401MC51, 1401EE56, 1401MC56, 1401MC58"
01/05/2016,Monday,Morning,103,9,HS202,25,0,5,"1401MC53, 1401EE60, 1401AI40, 1401PH24, 1401ME58, 1401PH03, 1401MM09, 1401AI41, 1401MM24, 1401AI37, 1401MM39, 1401EE28, 1401MM15, 1401ME44, 1401AI42, 1401ME32, 1401ME45, 1401ME25, 1401EE89, 1401ME80, 1401ME09, 1401ME67, 1401EE66, 1401AI39, 1401EE21"
01/05/2016,Monday,Morning,104,9,HS202,67,0,5,"1401PH22, 1401ME01, 1401PH05, 1401EE32, 1401CB47, 1401CB51, 1401EE79, 1401AI19, 1401EE07, 1401EE59, 1401CE45, 1401EE11, 1401ME38, 1401EE29, 1401CB55, 1401CB08, 1401CB43, 1401EE35, 1401CB58, 1401AI23, 1401CB29, 1401CE54, 1401CB24, 1401EE25, 1401EE01, 1401CB66, 1401EE17, 1401AI17, 1401AI32, 1401ME62, 1401ME74, 1401MM30, 1401ME60, 1401CE50, 1401EE74, 1401EE86, 1401ME27, 1401CB41, 1401AI04, 1401ME29, 1401PH16, 1401AI08, 1401CB23, 1401EE16, 1401CB18, 1401CB42, 1401CB13, 1401CE15, 1401MM16, 1401CE27, 1401ME51, 1401EE06, 1401PH06, 1401PH29, 1401EE88, 1401EE03, 1401CE55, 1401CE34, 1401EE57, 1401EE87, 1401CB57, 1401ME61, 1401MM44, 1401CB07, 1401MC27, 1401AI16, 1401CE63"
01/05/2016,Monday,Morning,105,9,HS202,25,0,5,"1401CB65, 1401ME21, 1401ME26, 1401AI38, 1401CB36, 1401PH21, 1401ME10, 1401EE55, 1401ME73, 1401CE41, 1401AI07, 1401EE41, 1401EE92, 1401MM04, 1401MM25, 1401CB39, 1401EE90, 1401MM11, 1401ME13, 1401CB63, 1401ME05, 1401PH28, 1401CS03, 1401CS88, 1401CS72"
01/05/2016,Monday,Morning,106,9,HS202,25,0,5,"1401CS79, 1401CS05, 1401CS37, 1401CS12, 1401CS54, 1401CS68, 1401CS06, 1401CS39, 1401CS42, 1401CS90, 1401CS07, 1401CS69, 1401MM03, 1401EE18, 1401CS15, 1401CS77, 1401CB35, 1401CS50, 1401EE02, 1401CS29, 1401CS82, 1401CB40, 1401CB44, 1401MC12, 1401ME24"
01/05/2016,Monday,Morning,107,9,"HS202, HS212",67,0,5,"1401MC15, 1401CS17, 1401CS59, 1401CS31, 1401EE95, 1401CS56, 1401CS66, 1401CS14, 1401CS21, 1401CS80, 1401MM27, 1401PH09, 1401CS71, 1401CS51, 1401CS27, 1401CS67, 1401CS47, 1401AI31, 1401CS28, 1401CS26, 1401CS70, 1401CS09, 1401CS01, 1401CS38, 1401CS25, 1401AI35, 1401CB16, 1401CS48, 1401CS75, 1401EE20, 1401EE23, 1401EE27, 1401EE51, 1401EE78, 1401ME63, 1401CS18, 1401CS61, 1401CE25, 1401CS02, 1401CS46, 1401CS65, 1401EE40, 1401EE84, 1401MC01, 1401MM10, 1401PH19, 1401PH08, 1401AI22, 1401CE48, 1401CE40, 1401MC33, 1401EE75, 1401ME49, 1401EE77, 1401CB50, 1401CE11, 1401MC55, 1401CB53, 1401CE32, 1401ME64, 1401CS35, 1401MM06, 1401MC06, 1401MM17, 1401ME57, 1401ME46, 1401CB48"
01/05/2016,Monday,Morning,108,9,HS212,25,0,5,"1401MM20, 1401CE51, 1401CE38, 1401ME69, 1401ME82, 1401AI10, 1401EE52, 1401ME06, 1401ME02, 1401CE57, 1401EE46, 1401CS49, 1401MM07, 1401CS83, 1401PH15, 1401ME03, 1401ME68, 1401CE31, 1401ME04, 1401CB05, 1401ME65, 1401ME81, 1401ME59, 1401ME22, 1401CS87"
01/05/2016,Monday,Morning,109,9,HS212,67,0,5,"1401CS20, 1401CS81, 1401EE98, 1401PH14, 1401EE67, 1401MC44, 1401CB01, 1401CB30, 1401CS89, 1401EE45, 1401ME12, 1401ME40, 1401ME79, 1401CB31, 1401CE37, 1401ME66, 1401MM35, 1401MM40, 1401AI18, 1401CB03, 1401CB61, 1401CB64, 1401CE06, 1401CE12, 1401CE22, 1401CE43, 1401CE46, 1401CE47, 1401CE58, 1401CS04, 1401CS13, 1401CS30, 1401CS36, 1401CS58, 1401EE09, 1401EE24, 1401EE31, 1401EE43, 1401EE54, 1401EE71, 1401EE76, 1401MC14, 1401MC25, 1401MC40, 1401ME28, 1401ME34, 1401ME48, 1401ME53, 1401ME70, 1401ME77, 1401MM14, 1401MM34, 1401PH04, 1401CB10, 1401AI21, 1401CE36, 1401CE29, 1401CS85, 1401AI27, 1401CS22, 1401MM12, 1401CE20, 1401MM45, 1401CE33, 1401EE48, 1401MM43, 1401EE19"
01/05/2016,Monday,Morning,110,9,"HS212, HS225",25,0,5,"1401MC47, 1401EE68, 1401PH11, 1401CS41, 1401ME56, 1401EE80, 1401CS84, 1401PH18, 1401MM42, 1401AI20, 1401AI14, 1401CS86, 1401CS73, 1401ME37, 1401PH32, 1401CB45, 1401CS57, 1401MM31, 1401EE85, 1401CS19, 1401AI06, 1401AI11, 1401AI12, 1401AI13, 1401AI15"
01/05/2016,Monday,Morning,301,9,HS225,25,0,5,"1401AI25, 1401AI28, 1401AI29, 1401AI30, 1401AI33, 1401AI36, 1401AI43, 1401CB02, 1401CB09, 1401CB11, 1401CB15, 1401CB21, 1401CB22, 1401CB33, 1401CB49, 1401CB56, 1401CE03, 1401CE05, 1401CE07, 1401CE21, 1401CE24, 1401CE26, 1401CE42, 1401CE52, 1401CE61"
01/05/2016,Monday,Morning,302,9,HS225,25,0,5,"1401CS08, 1401CS10, 1401CS11, 1401CS16, 1401CS23, 1401CS32, 1401CS33, 1401CS40, 1401CS43, 1401CS44, 1401CS45, 1401CS52, 1401CS53, 1401CS55, 1401CS60, 1401CS62, 1401CS63, 1401CS64, 1401CS74, 1401CS76, 1401CS91, 1401EE10, 1401EE12, 1401EE26, 1401EE36"
01/05/2016,Monday,Morning,303,9,"HS225, HS302",67,0,5,"1401EE53, 1401EE61, 1401EE62, 1401EE65, 1401EE72, 1401EE83, 1401EE94, 1401EE99, 1401MC05, 1401MC20, 1401MC23, 1401MC24, 1401MC28, 1401MC43, 1401MC48, 1401MC49, 1401MC50, 1401MC54, 1401ME08, 1401ME20, 1401ME31, 1401ME72, 1401ME76, 1401MM01, 1401MM02, 1401MM37, 1401PH07, 1401PH13, 1401CS24, 1401CE04, 1401CB26, 1401EE22, 1401ME85, 1401CB34, 1401MC30, 1401CB28, 1301EE63, 1301CE13, 1301CE23, 1301EE78, 1301EE04, 1301CE38, 1301CS41, 1301CE04, 1301CB48, 1301EE33, 1301EE10, 1301CB13, 1301CS38, 1301CS29, 1301CS12, 1301EE15, 1301CB08, 1301CS07, 1301CS09, 1301CS79, 1301EE74, 1301CS58, 1301CS49, 1301CS14, 1301EE08, 1301CS17, 1301CS18, 1301EE18, 1301CS44, 1301CS72, 1301CS73"
01/05/2016,Monday,Morning,304,9,"HS302, HS312",25,0,5,"1301CS68, 1301CS35, 1301CB01, 1301CS05, 1301CS04, 1301CS10, 1301CS23, 1301ME82, 1301CS85, 1301CB21, 1301CS51, 1301ME25, 1301EE07, 1301CB61, 1301CE63, 1301CE46, 1301MM34, 1301EE57, 1301CS33, 1301CS08, 1301CB04, 1301CB07, 1301CB46, 1301CB53, 1301CB54"
01/05/2016,Monday,Morning,305,9,HS312,25,0,5,"1301CE09, 1301CE25, 1301CE29, 1301CE39, 1301CE45, 1301CE47, 1301CE51, 1301CE52, 1301CE55, 1301CE57, 1301CS06, 1301CS13, 1301CS16, 1301CS22, 1301CS24, 1301CS31, 1301CS39, 1301CS53, 1301CS55, 1301CS59, 1301CS62, 1301CS64, 1301CS80, 1301CS84, 1301CS86"
01/05/2016,Monday,Morning,306,9,HS312,25,0,5,"1301CS88, 1301CS89, 1301EE01, 1301EE03, 1301EE21, 1301EE22, 1301EE24, 1301EE26, 1301EE29, 1301EE35, 1301EE38, 1301EE40, 1301EE45, 1301EE53, 1301EE59, 1301EE60, 1301EE61, 1301EE65, 1301EE66, 1301EE77, 1301EE85, 1301EE86, 1301EE87, 1301EE88, 1301EE91"
01/05/2016,Monday,Morning,307,9,HS312,25,0,5,"1301ME01, 1301ME03, 1301ME04, 1301ME05, 1301ME06, 1301ME11, 1301ME19, 1301ME32, 1301ME35, 1301ME36, 1301ME38, 1301ME39, 1301ME41, 1301ME42, 1301ME51, 1301ME60, 1301ME62, 1301ME70, 1301ME77, 1301ME85, 1301MM05, 1301MM08, 1301MM10, 1301CE31, 1301ME14"
01/05/2016,Monday,Morning,308,9,"HS312, HS341",50,0,5,"1301ME12, 1301ME07, 1301ME71, 1301EE84, 1301EE55, 1301ME44, 1301ME09, 1301MM18, 1301ME65, 1301ME54, 1301CB33, 1301CS67, 1301CB02, 1301EE23, 1301CB36, 1301CB37, 1301EE13, 1301CS30, 1301CB58, 1301CB20, 1301CB38, 1301CB60, 1301CS20, 1301CB17, 1301CE60, 1301CS76, 1301CB11, 1301ME55, 1301EE27, 1301EE62, 1301ME15, 1301ME47, 1301CS70, 1301ME57, 1301ME67, 1301CB42, 1301ME13, 1301ME52, 1301EE89, 1301CS71, 1301CE49, 1301CS77, 1301ME48, 1301EE56, 1301EE73, 1301ME66, 1301CB31, 1301CS74, 1301CB64, 1301EE32"
01/05/2016,Monday,Morning,309,9,HS341,25,0,5,"1301ME49, 1301CB29, 1301EE31, 1301CB28, 1301CE35, 1301CE59, 1301ME21, 1301ME23, 1301ME45, 1301ME56, 1201CS05, 1301CB10, 1301CB44, 1301CB47, 1301CB52, 1301CB55, 1301CB56, 1301CB57, 1301CE01, 1301CE18, 1301CE33, 1301CE34, 1301CE42, 1301CE50, 1301CE62"
01/05/2016,Monday,Morning,310,9,HS341,25,0,5,"1301CE66, 1301CS01, 1301CS28, 1301CS42, 1301CS54, 1301CS57, 1301CS60, 1301CS63, 1301EE06, 1301EE12, 1301EE14, 1301EE17, 1301EE19, 1301EE20, 1301EE41, 1301EE48, 1301EE49, 1301EE50, 1301EE64, 1301EE75, 1301EE80, 1301EE81, 1301EE83, 1301EE94, 1301ME10"
01/05/2016,Monday,Morning,409,9,"HS341, HS331",20,0,5,"1301ME24, 1301ME29, 1301ME30, 1301ME64, 1301MM28, 1301MM30, 1301MM33, 1301CS37, 1301CS56, 1301CB26, 1301CE16, 1301MM13, 1301CE24, 1301ME84, 1301ME86, 1301CB45, 1301EE44, 1301CB15, 1301ME63, 1301ME53"
01/05/2016,Monday,Morning,410,9,HS331,20,0,5,"1301ME76, 1301ME31, 1301ME27, 1301ME37, 1301ME18, 1301MM11, 1301EE68, 1301MM22, 1301CB27, 1301CB19, 1301MM03, 1301EE42, 1301MM15, 1301CE19, 1301MM23, 1301CS87, 1301CB06, 1301CB23, 1301CB43, 1301CS83"
01/05/2016,Monday,Morning,502,9,HS331,85,0,5,"1301EE79, 1301EE34, 1301CE02, 1301EE82, 1301MM35, 1301EE70, 1301MM24, 1301CB05, 1301CB50, 1301CS36, 1301CB22, 1301CB49, 1301MM20, 1301EE39, 1301CS11, 1301CB41, 1301CE41, 1301CE36, 1301CE22, 1301CE26, 1301CB34, 1301EE37, 1301CS78, 1301CS19, 1301CS15, 1301CS26, 1301CS50, 1301CS47, 1301CS21, 1301CS40, 1301CS27, 1301CS32, 1301CE30, 1301CE20, 1301CE07, 1301CS82, 1301MM07, 1301CS66, 1301CS25, 1301CS02, 1301CS46, 1301CS61, 1301CS03, 1301CB39, 1301CB62, 1301CE48, 1301CE53, 1301CE68, 1301CS34, 1301CS69, 1301EE09, 1301EE25, 1301EE30, 1301EE92, 1301MM01, 1301MM09, 1301MM16, 1301MM26, 1301MM29, 1301MM32, 1301CE06, 1301CE21, 1301ME16, 1301CB03, 1301CB18, 1301CB24, 1301CB30, 1301CB35, 1301CE12, 1301CE14, 1301CE15, 1301CE17, 1301CE27, 1301CE32, 1301CE37, 1301CE43, 1301CE65, 1301CE67, 1301CS43, 1301CS52, 1301CS75, 1301CS81, 1301EE05, 1301EE28, 1301EE36"
01/05/2016,Monday,Morning,LT001,LT,"HS331, HS713, EE574, MA524",65,0,5,"1301EE43, 1301EE46, 1301EE51, 1301EE58, 1301EE67, 1301EE69, 1301EE76, 1301EE90, 1301EE93, 1301ME02, 1301ME20, 1301ME46, 1301ME50, 1301ME59, 1301ME72, 1301ME80, 1301ME81, 1301ME83, 1301MM04, 1301MM14, 1301MM21, 1301MM25, 1301MM27, 1301CE64, 1301ME33, 1301ME78, 1301ME43, 1301ME69, 1301ME58, 1301ME08, 1301ME17, 1301ME74, 1301ME79, 1301ME34, 1521HS02, 1521HS12, 1521HS20, 1521HS19, 1521HS06, 1521HS14, 1521HS16, 1521HS13, 1621HS01, 1621HS02, 1621HS08, 1621HS09, 1511EE28, 1201EE26, 1511EE29, 1511EE17, 1511EE40, 1511EE26, 1511EE18, 1511EE36, 1511EE24, 1201EE01, 1511MT06, 1511EE43, 1511MT19, 1511MT23, 1201EE71, 1621EE07, 1621EE02, 1412MA22, 1412MA13"
01/05/2016,Monday,Morning,LT101,LT,MA524,26,39,5,"1412MA10, 1412MA20, 1412MA01, 1412MA26, 1412MA14, 1412MA03, 1412MA02, 1412MA12, 1412MA06, 1412MA25, 1412MA16, 1412MA23, 1412MA05, 1412MA08, 1412MA21, 1412MA09, 1412MA07, 1412MA29, 1412MA27, 1412MA15, 1412MA19, 1412MA17, 1412MA11, 1312MA16, 1621MA04, 1621MA06"
01/05/2016,Monday,Evening,101,9,CS514,25,0,5,"1511MC22, 1511CS08, 1511MC15, 1511CS04, 1511CS22, 1511MC14, 1511MC13, 1511CS16, 1511MC20, 1511MC09, 1511CS17, 1511CS01, 1511MC10, 1511AI35, 1511MC05, 1511MC21, 1511AI06, 1511CS32, 1511CS33, 1511AI07, 1511MC19, 1511MC11, 1511MC08, 1511MC06, 1511MC26"
01/05/2016,Monday,Evening,102,9,"CS514, CE512, CH606, ME526",67,0,5,"1511AI19, 1511MC24, 1511MC23, 1511MC25, 1511MC27, 1511CS05, 1511CS10, 1511CS07, 1511CS29, 1511MC17, 1511CS26, 1511CS19, 1511CS12, 1511CS34, 1511CS27, 1511CS30, 1511CS11, 1511CS28, 1511CS15, 1511CS14, 1511CS03, 1621MA05, 1621MA04, 1621MA06, 1511CE38, 1511CE13, 1511CE37, 1511CE16, 1511CE09, 1511CE21, 1511CE43, 1511CE29, 1511CE19, 1511CE42, 1511CE32, 1511CE23, 1511CE28, 1511CE24, 1511CE27, 1511CE26, 1511CE36, 1511CE08, 1511CE05, 1511CE04, 1511CE15, 1511CE11, 1511CE06, 1511CE03, 1511CE14, 1511CE41, 1511CE40, 1511CE34, 1511CE31, 1511CE39, 1511CE20, 1521CE16, 1412CH13, 1521CH05, 1121CH12, 1521CH08, 1121CH05, 1421CH09, 1121CH07, 1511ME25, 1511ME03, 1511ME10, 1511ME12"
01/05/2016,Monday,Evening,103,9,"ME526, ME522, EE513",25,0,5,"1511ME21, 1511ME24, 1511ME28, 1511ME31, 1511ME35, 1511ME15, 1511ME17, 1511ME18, 1511ME09, 1511ME08, 1511ME30, 1511ME06, 1511ME33, 1511ME26, 1511ME23, 1511ME20, 1511ME11, 1511ME27, 1521ME19, 1621ME12, 1511EE14, 1511EE22, 1511EE37, 1511EE42, 1511EE31"
